No errors
This data source has been renamed to 'aircraftreports' and will not be available in the next release of the dataserver; 
36 ms
data source=pireps
802 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2020-02-02T02:47:51Z,2020-02-02T02:45:00Z,,,,,,,DLH411,51.1167,-29.1667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,234,46,,AIREP,ARP DLH411 5107N 02910W 0245 F390 M43 234/46 5200N 02000W 0324 LIMRI KT DAIHH DDL XXN 020245 J91A,
2020-02-02T02:47:51Z,2020-02-02T02:45:00Z,,,,,,,ACA878,51.0167,-25.7,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,1,58,,AIREP,ARP ACA878 5101N 02542W 0245 F380 M41 001/58 5129N 02000W 0309 ADARA KT CFSBV DDL XXH 020245 L87A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,CKS984,50.9167,-45.9833,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,275,45,,AIREP,ARP CKS984 5055N 04559W 0245 F330 M55 275/45 5159N 04000W 0311 5159N 03000W KT N707CK DDL IG1 020245 F04A,
2020-02-02T02:47:51Z,2020-02-02T02:45:00Z,,,,,,,AFR333,50.2833,-48.8833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,285,47,,AIREP,ARP AFR333 5017N 04853W 0245 F380 M51 285/47 5200N 04000W 0325 5200N 03000W KT FHRBB QXS YYT 020245 L57A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,VIR4C,50.0333,-42.9,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,276,27,,AIREP,ARP VIR4C 5002N 04254W 0245 F390 M49 276/27 5030N 04000W 0259 5030N 03000W KT GVPRD DDL XXH 020245 J33A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,AFR055,49.4667,-43.2,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,291,46,,AIREP,ARP AFR055 4928N 04312W 0245 F360 M52 291/46 5000N 04000W 0300 5000N 03000W KT FGSQU QXT AME 020245 F25A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,DAL58,49.0833,-51.6667,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,273,65,,AIREP,ARP DAL58 4905N 05140W 0245 F350 M58 273/65 4930N 05000W 0253 5130N 04000W KT N826MH QXS YYT 020245 F36A,
2020-02-02T02:49:19Z,2020-02-02T02:45:00Z,,,,,,,DAL14,48.8833,-46.0333,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,283,47,,AIREP,ARP DAL14 4853N 04602W 0245 F380 M53 283/47 4958N 04000W 0314 4958N 03000W KT N858NW DDL IG1 020248 J44A,
2020-02-02T02:47:51Z,2020-02-02T02:45:00Z,,,,,,,UAL956,48.75,-31.5,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,220,40,,AIREP,ARP UAL956 4845N 03130W 0245 F360 M44 220/40 4859N 03000W 0253 4959N 02000W KT N660UA DDL XXN 020246 F94A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,THY6691,47.3667,-33.7833,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,226,42,,AIREP,ARP THY6691 4722N 03347W 0245 F340 M44 226/42 4800N 03000W 0303 4900N 02000W KT TCLJO QXT AME 020245 F52A,
